cotizante_tipo_id,cotizante_id,afiliado_tipo_id,afiliado_id,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,dpto_afiliacion,mpio_afiliacion,dpto_residencia,mpio_residencia,direccion_residencia,telefono_residencia,telefono_movil,fecha_nacimiento,fecha_afiliacion,fecha_aplicacion_cambio_estado,descripcion_estamento,estado_afiliado_id,subestado_afiliado_id,eps_tipo_afiliado_id,parentesco,fecha_estao_corte,fecha_corte,correo_electronico,edad,medico_familiar,plan_atencion,etnia,discapacidad,tipo_discapacidad,nombre_afiliado,plan,fecha_inicio_cobertura,fecha_fin_cobertura,antiguedad_anios,anio_afiliacion
CC,E5A4983B,CC,E5A4983B,WIGGUM,TIMMY,LIBERTAD,MOANA,F,76,001,76,001,AV 111 # 41-97,32434822808576236239,3161350248,15/06/1961,27/08/2020,27/08/2020,PENSIONADO PUBLICO,AC,A01,C,,,26/06/2026,libertad.wiggume5a4@example.com,65,GERALD PAPALOTE MURDOCK MOJO,5,MESTIZO,NO,,WIGGUM TIMMY LIBERTAD MOANA,COTIZANTES SSUV,,,5.8,2020
CC,9F4C3B79,CC,9F4C3B79,DIMMSDALE,BANNER,OBELIX,,M,76,001,76,520,CLL 60 # 95-23,325687088063572,3989820541,02/07/1964,01/09/2010,01/09/2010,EMPLEADO PUBLICO NO DOCENTE,AC,A01,C,,,26/06/2026,obelix.dimmsdale9f4c@example.com,61,MAGGIE SUSANITA PLANKTON CAGE,5,MESTIZO,NO,,DIMMSDALE BANNER OBELIX,COTIZANTES SSUV,,,15.8,2010
CC,C871D7B3,CC,C871D7B3,PLANKTON,STRANGE,WOODY,SNOOPY,M,76,001,76,001,TRANS 34 # 10-98,3829127164,3316958006,09/10/1976,01/04/2015,06/04/2015,EMPLEADO PUBLICO DOCENTE DECRETO 1279,AC,A01,C,,,26/06/2026,woody.planktonc871@example.com,49,MOANA LISA MCPATO BOMBON,5,,NO,,PLANKTON STRANGE WOODY SNOOPY,COTIZANTES SSUV,,,11.2,2015
CC,C27437EB,CC,C27437EB,BOMBON,SUPERSONICO,POPIS,POCAHONTAS,F,76,001,76,001,TRANS 2 # 90-17,316020122125847238,3748489369,09/11/1947,01/01/1972,06/10/2008,PENSIONADO PUBLICO,AC,A01,C,,,26/06/2026,popis.bombonc274@example.com,78,GERALD PAPALOTE MURDOCK MOJO,5,MESTIZO,NO,,BOMBON SUPERSONICO POPIS POCAHONTAS,COTIZANTES SSUV,,,54.5,1972
CC,1931E9EE,CC,1931E9EE,PARKER,PICAPIEDRA,PIOLIN,VEGETA,M,76,001,76,520,CRA 28 # 61-90,3250913578,,26/12/1993,05/11/2021,05/11/2021,PENSIONADO SOBREVIVIENTE,AC,A01,C,,,26/06/2026,piolin.parker1931@example.com,32,GERALD PAPALOTE MURDOCK MOJO,5,MESTIZO,NO,,PARKER PICAPIEDRA PIOLIN VEGETA,COTIZANTES SSUV,,,4.6,2021
CC,81B15DB9,CC,81B15DB9,PYM,MCPATO,PANORAMIX,GOKU,M,76,001,76,001,DIAG 96 # 86-53,342141570995210460598,3992611044,19/10/1939,24/10/2013,24/10/2013,PENSIONADO SOBREVIVIENTE,AC,A01,C,,,26/06/2026,panoramix.pym81b1@example.com,86,MOANA LISA MCPATO BOMBON,5,,NO,,PYM MCPATO PANORAMIX GOKU,COTIZANTES SSUV,,,12.7,2013
CC,8972ABBD,CC,8972ABBD,QUILL,FLANDERS,HERCULES,ASTERIX,M,76,001,76,001,TRANS 104 # 41-47,314943405013681945754,3523558972,08/12/1940,01/08/1986,06/10/2008,PENSIONADO OFICIAL,AC,A01,C,,,26/06/2026,hercules.quill8972@example.com,85,GERALD PAPALOTE MURDOCK MOJO,5,MESTIZO,NO,,QUILL FLANDERS HERCULES ASTERIX,COTIZANTES SSUV,,,39.9,1986
CC,89628F6E,CC,89628F6E,HALCON,TRUENO,MULAN,,F,76,001,76,001,AV 71 # 29-46,30552411087154099229,3346629725,16/05/1968,01/02/1990,06/10/2008,EMPLEADO PUBLICO NO DOCENTE,AC,A01,C,,,26/06/2026,mulan.halcon8962@example.com,58,MAGGIE SUSANITA PLANKTON CAGE,5,NINGUNA DE LAS ANTERIORES,NO,,HALCON TRUENO MULAN,COTIZANTES SSUV,,,36.4,1990
CC,B8F21423,CC,B8F21423,DIMMSDALE,SUPERSONICO,BART,CONDORITO,M,76,001,76,001,TRANS 51 # 49-11,345995726348550023,3097296782,26/09/1954,16/09/1994,06/10/2008,PENSIONADO PUBLICO,AC,A01,C,,,26/06/2026,bart.dimmsdaleb8f2@example.com,71,POPIS MAFALDA GRIMM SKINNER,5,MESTIZO,NO,,DIMMSDALE SUPERSONICO BART CONDORITO,COTIZANTES SSUV,,,31.8,1994
CC,236E1608,CC,236E1608,STORM,DIMMSDALE,PEPPA,MARGE,F,76,001,76,001,CRA 101 # 85-26,3982859040620,3943410230,02/08/1969,05/01/2003,06/10/2008,EMPLEADO PUBLICO NO DOCENTE,AC,A01,C,,,26/06/2026,peppa.storm236e@example.com,56,MAGGIE SUSANITA PLANKTON CAGE,5,NINGUNA DE LAS ANTERIORES,NO,,STORM DIMMSDALE PEPPA MARGE,COTIZANTES SSUV,,,23.5,2003
